v1,v2
ham,Lunch at 2pm?
spam,Earn cash fast!!!
ham,I'll call you later
spam,Congratulations! You won a prize
ham,Are you available today?
spam,Win money now!!!
ham,Call me when you arrive
spam,URGENT! Verify your account
ham,Don't forget the meeting
spam,Exclusive deal just for you
ham,Can you send the file?
spam,Claim your free iPhone
ham,See you soon
spam,Congratulations! You won a prize
ham,See you soon
spam,Claim your free iPhone
ham,Thanks for your help
spam,Free entry in a contest
ham,See you soon
spam,Exclusive deal just for you
ham,I'll call you later
spam,Limited offer!!! Click now
ham,I'll call you later
spam,Exclusive deal just for you
ham,Thanks for your help
spam,Limited offer!!! Click now
ham,Let's meet tomorrow
spam,Win money now!!!
ham,Are you available today?
spam,Exclusive deal just for you
ham,Can you send the file?
spam,Congratulations! You won a prize
ham,Thanks for your help
spam,Earn cash fast!!!
ham,Call me when you arrive
spam,Earn cash fast!!!
ham,Thanks for your help
spam,You have been selected for a reward
ham,"Hey, how are you doing?"
spam,Claim your free iPhone
ham,Thanks for your help
spam,Claim your free iPhone
ham,I'll call you later
spam,You have been selected for a reward
ham,Thanks for your help
spam,Earn cash fast!!!
ham,I'll call you later
spam,Limited offer!!! Click now
ham,Are you available today?
spam,Exclusive deal just for you
ham,Lunch at 2pm?
spam,Win money now!!!
ham,I'll call you later
spam,Get rich quick scheme
ham,Thanks for your help
spam,Exclusive deal just for you
ham,I'll call you later
spam,Exclusive deal just for you
ham,Can you send the file?
spam,Get rich quick scheme
ham,Thanks for your help
spam,Get rich quick scheme
ham,Can you send the file?
spam,Limited offer!!! Click now
ham,Call me when you arrive
spam,Limited offer!!! Click now
ham,Thanks for your help
spam,Exclusive deal just for you
ham,Can you send the file?
spam,Get rich quick scheme
ham,See you soon
spam,Exclusive deal just for you
ham,I'll call you later
spam,Win money now!!!
ham,"Hey, how are you doing?"
spam,Win money now!!!
ham,Don't forget the meeting
spam,Win money now!!!
ham,I'll call you later
spam,You have been selected for a reward
ham,"Hey, how are you doing?"
spam,Earn cash fast!!!
ham,Can you send the file?
spam,Exclusive deal just for you
ham,Can you send the file?
spam,URGENT! Verify your account
ham,Don't forget the meeting
spam,URGENT! Verify your account
